draw,nnp,dalys_accrued,dalys_no_care,dalys_averted_care,daly_ideal,yld,yll,yld_prediag,cost_art_drug,cost_art_svc,cost_hiv_care,cost_art,cost_total,cost_no_care,inc_cost,icer,pct_ever_dx,pct_ever_art,assigned_p1,prev_icer_125,net_saving_125,prev_icer_55,net_saving_55,treat_ce_500
21,67.92171901829839,5.8123067951529395,17.357985697797268,11.54567890264433,1.2499211316660326,1.4365863931011493,4.375720402051791,0.5875348670119389,971.92376100741,1763.2670338410421,1509.1755536814267,2735.1907948484522,4244.366348529879,2945.446662847964,1298.9196856819149,112.50266845585155,0.837,0.763,0.938,730.4928453360657,0.0,-87.51633739424503,1.0,1.0
22,35.562993124847935,4.981341194538437,14.020541738823518,9.039200544285078,1.4759098722172757,1.3240824391092878,3.6572587554291505,0.6370812442682735,805.4553669589343,1638.3417405592622,1503.0486211619432,2443.7971075181968,3946.8457286801395,2850.8043433732187,1096.0413853069206,121.25423923688462,0.792,0.721,0.928,100.07915387776303,0.0,-399.66768568198324,1.0,1.0
23,64.49933398726915,6.135294362766005,15.857869040272726,9.722574677506723,1.7735183552157356,1.4321519894324468,4.703142373333558,0.6031933749687776,1055.6872312068256,4577.351939342524,1351.501409501358,5633.03917054935,6984.540580050707,2898.97795367963,4085.5626263710774,420.21406488376675,0.801,0.71,0.917,175.68450747846313,0.0,-560.2139045862094,1.0,1.0
24,126.92028515812234,4.9382435719505695,13.18200511207098,8.243761540120412,1.2991225030194495,1.7965071281699418,3.1417364437806268,1.0578629937874797,881.236596108124,1061.083408500834,1100.597932638361,1942.320004608958,3042.917937247319,2632.850045864412,410.06789138290685,49.742813324621864,0.769,0.709,0.931,2596.493575235563,0.0,797.3883201743424,0.0,1.0
25,32.641698717932435,5.437220200018248,14.692563460585024,9.255343260566775,1.3282385031935802,1.6336759435361177,3.8035442564821307,0.8628632106426741,772.9742764095429,1268.2561837526503,1329.9904464836065,2041.2304601621931,3371.220906645799,2266.259097233258,1104.9618094125415,119.38636723721862,0.783,0.712,0.925,130.3959389199238,0.0,-289.84065739221415,1.0,1.0
26,36.81101508259629,5.256840513474023,15.403353136359817,10.146512622885796,1.296969723294254,1.4630561686849906,3.7937843447890325,0.7553000725517135,1370.698671382615,2374.661928123217,1470.643727138718,3745.3605995058324,5216.004326644551,2859.3375375562873,2356.6667890882636,232.26372219482815,0.812,0.738,0.936,-116.91955267515492,1.0,-607.0944113525512,1.0,1.0
27,41.92398326743969,5.43780746154504,15.303845861195274,9.86603839965023,1.1912699553915223,1.4696683112277868,3.9681391503172527,0.7286994479410498,925.0031991116638,1748.2133185093053,1047.0491101973205,2673.216517620969,3720.2656278182894,2040.7661619002815,1679.499465918008,170.2303800051649,0.808,0.733,0.922,279.5671401318298,0.0,-260.1133927804095,1.0,1.0
28,145.3173932129516,5.509055441311544,16.11037222209081,10.601316780779266,1.344469126015293,1.140037125587024,4.36901831572452,0.4967571599575593,1185.8791049201386,1488.460049356795,1075.5034850638908,2674.3391542769336,3749.8426393408245,2061.6727506547427,1688.1698886860813,159.24152853792845,0.832,0.754,0.942,2616.5704204360627,0.0,770.1164078975892,0.0,1.0
29,60.62062152699323,5.107831310684197,15.151604263424662,10.043772952740467,1.5240844198144308,1.3109033530504026,3.796927957633794,0.5257318311510426,863.1089027404358,2126.2799390617956,1457.7649526655637,2989.388841802232,4447.153794467795,2956.816938002393,1490.3368564654024,148.3841643452086,0.823,0.753,0.922,612.8675177385679,0.0,-217.90453575767708,1.0,1.0
30,58.203421597443,6.5375868735622875,17.124628333903157,10.587041460340872,1.4234303472094543,1.4198206723091107,5.117766201253176,0.6578553326141139,1056.350885730675,1686.4842133566071,1104.6644278795845,2742.8350990872823,3847.4995269668666,2365.3561006142822,1482.1434263525844,139.99599717302547,0.801,0.703,0.925,524.3415099500854,0.0,-98.86084140941303,1.0,1.0
31,7.071975781210947,4.556292715935159,11.492886810840968,6.93659409490581,1.4050626523083576,1.8399491491833788,2.716343566751781,1.195324664480082,685.054357828938,1509.9433188789728,1002.1823735223244,2194.9976767079106,3197.180050230235,2133.687963282672,1063.4920869475627,153.31617684370266,0.731,0.665,0.935,-507.68974291066723,1.0,-616.3391066693698,1.0,1.0
32,46.935837349150404,5.2270602155183,14.861268408635665,9.634208193117361,1.725871882989526,1.1800225827737725,4.047037632744527,0.49396521694303647,910.1956509564701,1687.8398578990493,1108.8053588589232,2598.0355088555193,3706.8408677144425,2147.692105714238,1559.148762000204,161.8346552977808,0.809,0.737,0.926,413.2607454025981,0.0,-215.29689100770804,1.0,1.0
33,79.80571000647785,5.434786074695141,15.63767923600149,10.20289316130635,1.1905507755076108,1.2415070393975542,4.1932790352975875,0.5579214332826506,934.1305200173882,3543.2353896634745,1407.1588042614144,4477.365909680863,5884.524713942277,2690.6695470624018,3193.8551668798764,313.03426551522807,0.811,0.732,0.921,752.7783027038365,0.0,-275.11858664462113,1.0,1.0
34,50.065729476621215,5.33006253406086,15.041487221875181,9.71142468781432,1.3888294165704989,1.0273340022885455,4.302728531772314,0.46001147139256693,707.2766202196345,2780.8332700351407,1056.8747242691186,3488.109890254775,4544.9846145238935,2001.6392895735905,2543.345324950303,261.8920917073719,0.804,0.736,0.925,321.4280431243804,0.0,-336.08789425307566,1.0,1.0
35,46.55824642861566,5.296087456753832,15.6074307317676,10.311343275013765,1.3854809506485697,1.41096693772252,3.8851205190313127,0.671929392296906,1053.0245132451946,2380.061573292104,1148.0856972710937,3433.086086537299,4581.171783808393,2409.099099016331,2172.0726847920614,210.64885794806028,0.809,0.746,0.943,233.87246337653073,0.0,-381.50205160564917,1.0,1.0
36,52.81328725059395,5.053755697431318,13.985992278090816,8.9322365806595,1.2511436639185758,1.0748923010640243,3.978863396367293,0.5002034560991174,782.208598448625,1746.1100317378598,1055.996652610342,2528.3186301864853,3584.315282796827,2468.749508179925,1115.5657746169018,124.8920989209329,0.798,0.724,0.92,597.0501552065623,0.0,-134.4711784068971,1.0,1.0
37,71.56786038393604,5.561035428591645,16.671549901805005,11.110514473213358,1.3487407800984912,1.4423827076356952,4.11865272095595,0.6193299840608085,893.4451350830748,3985.3396828701757,1158.2317786630028,4878.784817953251,6037.016596616253,2223.5055527861955,3813.5110438300576,343.23442474461064,0.827,0.751,0.93,523.097899434253,0.0,-377.7685473282092,1.0,1.0
38,106.34623102826805,4.995674655582603,14.598054312292485,9.602379656709882,1.0843863424677465,1.1873841530713793,3.808290502511224,0.43823257056453857,924.2653210918575,1692.8860684501208,1337.094984765212,2617.151389541978,3954.24637430719,2724.2387102992493,1230.0076640079408,128.09404626575505,0.819,0.737,0.921,1869.4236811018243,0.0,379.28737615652017,0.0,1.0
39,39.97635457296107,5.351293962323718,15.633500537903215,10.282206575579496,1.4789383401242222,1.4496562486507412,3.9016377136729767,0.7398716807939411,963.1987120990316,1725.417167074886,1017.4715398528708,2688.6158791739176,3706.0874190267887,2301.708359087217,1404.3790599395713,136.58343173876779,0.825,0.746,0.942,241.24200832218284,0.0,-281.6866216146663,1.0,1.0
40,27.247126161756384,5.423449296481229,16.54346171448611,11.120012418004885,1.2249204024105436,1.2454189512541949,4.178030345227033,0.5375178011320033,1065.8858710798836,2037.4974039328197,1034.7107009723043,3103.383275012703,4138.093975985007,1937.6250378892403,2200.468938095767,197.88367632871473,0.826,0.758,0.928,-135.00692377460183,1.0,-486.68326977831856,1.0,1.0
41,73.26159952846992,5.379155774860897,16.1683185751539,10.789162800293003,1.1708045774643525,1.404826152858291,3.9743296220026068,0.7212117111623502,1140.4266555360334,2395.988261312433,1009.6280990529831,3536.414916848467,4546.0430159014495,2231.9096537397268,2314.1333621617227,214.486833222952,0.821,0.76,0.925,857.3198319910239,0.0,-96.04760736808457,1.0,1.0
42,75.81397093281275,5.952193949237977,16.82460596435434,10.872412015116366,1.4776151495271492,1.5528956025824059,4.399298346655571,0.7665807969748142,1214.0723817633614,1916.2145857368344,1113.7558310852414,3130.2869675001953,4244.042798585438,2098.1094445147987,2145.9333540706384,197.3741752140241,0.825,0.743,0.932,879.1218183819542,0.0,-12.478490774018795,1.0,1.0
43,54.197799589478315,5.130780308501885,12.847746872466821,7.716966563964935,1.8415530682471744,1.5092566652954722,3.621523643206413,0.709872812478544,740.4610002316604,1628.8607702135703,1533.3622228483928,2369.3217704452304,3902.6839932936236,3247.368548660472,655.3154446331519,84.91878760926681,0.774,0.706,0.923,559.7668936695832,0.0,-179.66175911778032,1.0,1.0
44,16.209624205100212,5.815882587771275,16.540710259541278,10.724827671770006,1.5566223622523074,1.503219249789382,4.312663337981894,0.6567951118146701,958.3922239614187,875.2572524768682,978.2208263003585,1833.649476438287,2811.870302738645,2016.7387535649734,795.1315491736719,74.13933104646752,0.818,0.748,0.933,-135.08994812809604,1.0,-330.1890886683175,1.0,1.0
45,53.044219050627134,4.364124182640895,11.82078053126699,7.456656348626095,1.1307344876335133,1.3572812335501734,3.006842949090721,0.7343632917678123,1121.6861334777004,2286.0745328845364,826.2166688268617,3407.7606663622373,4233.977335189098,2012.0921905420657,2221.885144647033,297.97338656439763,0.771,0.703,0.93,549.1479953004115,0.0,-301.6745702703435,1.0,1.0
46,83.92099921635092,4.414952203172797,11.344894970182658,6.929942767009862,0.9659442091251115,1.3459167667126144,3.0690354364601835,0.8169169674346504,741.7616672910211,2189.6341456018426,1148.6878763396994,2931.395812892864,4080.0836892325638,2631.07204573553,1449.0116434970334,209.09431610244803,0.733,0.664,0.927,1451.8936826099127,0.0,121.30850868144154,0.0,1.0
47,30.168229500708144,5.966630034906276,17.429548883624836,11.462918848718564,1.421201400688927,1.2516665348256424,4.714963500080635,0.4562359541388565,793.9023188715063,2175.7517982572817,1616.8599644106607,2969.6541171287877,4586.514081539448,2745.6985915618593,1840.8154899775884,160.58872214587583,0.824,0.742,0.918,-136.67436881122788,1.0,-490.6054911860278,1.0,1.0
48,58.438695887066956,5.1280995051156095,14.303394563245016,9.175295058129405,1.3751129564016915,1.1338584421058346,3.9942410630097753,0.6594288668584731,814.5018261099884,2054.1828615457644,1350.0429579969846,2868.6846876557524,4218.727645652738,2864.3261621977454,1354.401483454992,147.61394318921424,0.807,0.73,0.94,601.803716396696,0.0,-195.90091238711392,1.0,1.0
49,37.65492340681312,5.382249882292235,14.680377901728727,9.298128019436493,1.485954854938909,1.748895066991657,3.6333548153005766,0.8569304766922575,1116.6214468071983,2483.08167447922,1251.9336416013016,3599.7031212864185,4851.63676288772,2401.033925149287,2450.602837738433,263.55873274876143,0.799,0.726,0.939,-26.89792191038582,1.0,-516.6270679221545,1.0,1.0
50,69.4865050282139,4.739776264197775,14.033865543504795,9.29408927930702,1.3628212585211372,1.181541761345563,3.5582345028522124,0.5496807880402055,836.2800836837399,2126.472617847025,1131.2192688247333,2962.7527015307646,4093.971970355498,2465.7651548808776,1628.206815474621,175.18734397137428,0.83,0.756,0.946,968.7885887897338,0.0,-57.43186568950987,1.0,1.0
51,164.6790029964328,5.180257240664145,15.415651251404354,10.235394010740208,1.481789357731829,1.4828507911602018,3.6974064495039425,0.7130019601710278,690.3364551824862,2412.790790238709,1470.5532874593537,3103.1272454211953,4573.6805328805485,2985.8728907829213,1587.8076420976276,155.1291176901943,0.824,0.762,0.942,3090.810764374475,0.0,865.5293402665886,0.0,1.0
52,23.069521371966182,5.641187484270733,14.95453845392196,9.313350969651227,1.3699068423234932,1.5428268488372971,4.098360635433436,0.8524930593829105,911.9981389745598,1980.5171154160168,1076.0896761236797,2892.515254390577,3968.6049305142565,2390.607431722588,1577.997498791668,169.4339130924819,0.793,0.711,0.931,-192.3202804451263,1.0,-478.58385536447594,1.0,1.0
53,32.6847054587145,5.590843412270575,17.320562856762184,11.729719444491609,1.4933857318065784,1.3303681880172216,4.260475224253354,0.49861764320405955,850.0624295891743,2060.062515964414,1208.900239101202,2910.124945553588,4119.02518465479,2469.027818848461,1649.997365806329,140.6681015359821,0.833,0.769,0.934,-5.9806722975091064,1.0,-415.2086211770203,1.0,1.0
54,25.205984844538968,5.743981993520929,15.852691204401177,10.108709210880246,1.2371080574748614,1.5272863977093454,4.216695595811583,0.654404718052843,902.6483297084633,1789.3447095291763,1530.765450651967,2691.9930392376396,4222.758489889607,2737.507255771068,1485.251234118539,146.92788200099054,0.792,0.716,0.914,-186.63191937778302,1.0,-493.808881476193,1.0,1.0
55,45.99171909850921,6.235230429744235,18.439316187239793,12.204085757495559,1.4386144208051383,1.2973090304653014,4.937921399278934,0.6841917953607458,1129.561491357016,1689.8342839289005,1847.263406758804,2819.3957752859164,4666.65918204472,2437.9097497024622,2228.749432342258,182.62321952083914,0.848,0.767,0.936,173.579103044204,0.0,-342.7483002764304,1.0,1.0
